name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,34.3,36.68,37.6,36.98,31.9,25.72,21.61,,36.16,36.26,36.41,34.05,8.63,8.26,2.83,2053627.7,1582390.1,54275980.0,58523115.0,0.62,-0.25,2186927122.6762953,-10.3,298,88.88,16,239.6,8,106.06,0.91,-8.77,0.66,0.83,8.9,0.233,46.61,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,2026-12-02,False,False,4,"thin RVOL, below 200-MA",near21,4,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,61.81,54.42,51.59,51.04,51.8,56.01,43.76,36.38,56.14,53.46,65.13,60.23,7.93,7.38,4.56,1071680.3,882099.4666666667,54522568.0,45021916.0,1.0,0.47,1989094518.2361312,33.5,24,18.36,125,263.59,7,105.15,2.62,19.81,2.12,1.07,34.6,0.408,31.75,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,2026-10-29,False,False,5,thin RVOL,EMA,6,https://www.tradingview.com/chart/?symbol=NASDAQ:BAND&interval=D,False,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.11,11.33,11.13,11.2,10.82,9.52,7.51,6.86,11.3,11.24,11.75,10.75,7.51,7.78,0.86,2945956.2,2696509.3666666667,29958219.0,30199557.0,1.27,0.18,1344490557.9227939,5.01,139,10.66,159,277.89,5,97.85,0.35,-0.15,0.15,1.16,41.7,0.218,40.22,False,False,False,True,True,True,False,False,False,True,True,True,False,False,True,False,2026-11-11,False,False,5,thin RVOL,"near21, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,562.89,557.05,529.18,505.27,475.72,418.74,336.39,282.91,550.19,530.05,573.8,541.24,4.99,5.61,31.59,9565417.999999998,9076956.3,5109327932.0,4586277402.0,0.86,1.92,357892656966.421,25.2,34,42.05,63,221.41,11,96.22,3.26,6.37,1.1,1.03,68.5,0.319,48.7,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,False,2026-12-01,False,False,5,LoD>60% ATR,"EMA, near21",6,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.29,1.3,1.31,1.07,0.92,0.93,0.94,1.03,1.29,1.21,1.31,1.25,8.54,10.89,0.14,16439284.0,64975570.833333336,83818486.0,69844624.0,0.51,-0.4,241414120.8809524,111.48,6,68.03,27,92.54,66,90.68,3.64,-1.36,0.57,0.44,30.2,0.703,29.74,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:GPRO&interval=D,True,False,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.94,2.77,2.66,2.62,2.58,2.22,1.91,1.82,2.8,2.7,2.96,2.83,5.21,5.67,0.17,30340521.400000036,23554888.36666667,69251372.0,61768769.0,0.61,0.69,2624257643.2164946,10.53,93,58.06,36,203.09,14,90.56,2.47,10.57,1.56,0.75,66.0,0.257,32.2,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,2026-11-11,False,False,4,"LoD>60% ATR, thin RVOL",EMA,6,https://www.tradingview.com/chart/?symbol=NYSE:AMC&interval=D,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.19,13.45,13.42,14.53,14.89,12.59,9.67,8.41,13.54,13.87,13.75,12.97,6.1,7.07,0.93,1896220.2,2370101.1666666665,31261634.0,34438360.0,0.63,1.22,816461027.3469085,-13.51,327,2.05,200,279.02,4,89.19,-1.61,-1.69,0.7,0.84,23.9,0.164,49.09,False,False,False,True,True,True,True,False,False,True,False,True,False,False,False,False,2026-11-11,False,False,5,thin RVOL,near21,6,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,True
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,252.13,247.63,230.28,220.89,212.63,191.46,162.22,150.11,245.7,233.56,259.86,251.54,4.52,4.8,12.11,13773725.0,11514900.633333333,2903251897.0,2543468826.0,0.56,-0.05,258164698117.79694,37.96,19,46.97,56,171.95,21,85.63,3.87,9.49,1.66,0.69,4.9,0.331,38.68,True,True,True,True,False,False,True,True,False,True,False,True,False,True,False,False,2026-12-01,False,False,6,,"EMA, ADR",8,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,True,False,True
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,364.62,316.54,303.21,300.95,305.03,321.08,261.44,236.21,332.09,315.66,377.87,356.2,5.31,6.33,23.1,4573035.6,3803731.7,1386916652.0,1144734323.0,0.68,1.52,63256141581.82025,29.01,27,-4.66,239,228.49,9,84.28,3.08,20.25,2.45,0.94,36.5,0.458,23.28,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,2026-11-10,False,False,6,,EMA,7,https://www.tradingview.com/chart/?symbol=NASDAQ:ALAB&interval=D,False,False,True
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,12.85,12.98,12.39,11.53,9.55,8.86,7.72,6.76,13.09,12.22,13.98,12.65,8.32,8.97,1.15,27194257.1,27740344.7,356463429.0,319786070.0,1.2,-0.78,3057262794.3293114,10.92,90,61.64,33,171.96,20,81.5,3.85,3.69,0.58,1.15,17.4,0.33,48.4,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,2026-12-02,False,False,5,thin RVOL,near21,4,https://www.tradingview.com/chart/?symbol=NASDAQ:PURR&interval=D,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,116.1,113.84,113.56,115.56,110.79,92.49,74.88,69.2,114.8,114.06,120.44,114.51,4.94,4.71,5.47,2622659.8,1421632.0,165051475.0,164285926.0,0.3,0.41,12550224037.209518,-5.28,229,38.68,75,204.8,12,79.4,1.02,2.23,0.38,1.08,29.1,0.077,38.45,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,2026-11-04,False,False,6,,"EMA, near21, BB",9,https://www.tradingview.com/chart/?symbol=NASDAQ:CORT&interval=D,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,35.77,35.16,33.89,33.48,31.33,26.9,23.39,22.26,35.41,34.14,37.79,35.61,5.85,5.76,2.06,3078092.6,2041547.7,73026161.0,68352038.0,0.48,-0.57,2672860786.3576107,13.7,75,80.66,18,142.02,35,78.79,2.46,5.56,0.83,1.06,7.8,0.277,36.05,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,2026-11-09,False,False,5,thin RVOL,"EMA, near21",7,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,False,True,False
PLSE,"Pulse Biosciences, Inc",NASDAQ,Medical Specialties,51.63,52.49,52.24,50.74,44.91,35.15,30.38,26.82,52.19,51.07,54.05,50.8,8.96,7.25,3.74,609077.4,604027.2,31185924.0,30649750.0,1.09,0.66,3753631751.505692,5.37,134,91.79,13,139.03,37,78.73,2.06,-1.17,0.15,0.87,22.1,0.151,49.72,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,2026-11-16,False,False,5,thin RVOL,"near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:PLSE&interval=D,False,True,False
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.67,17.82,16.17,15.66,14.75,12.86,11.84,12.89,17.56,16.57,18.65,17.64,5.49,5.36,0.95,8966962.1,6370640.7,112569221.0,99787592.0,0.65,-0.92,7219744956.830371,33.86,23,82.16,17,112.89,54,76.31,3.7,9.31,1.24,1.07,3.2,0.432,33.84,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,2026-12-11,False,False,5,thin RVOL,"EMA, near21",5,https://www.tradingview.com/chart/?symbol=NASDAQ:NTSK&interval=D,True,True,False
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,56.22,52.28,50.96,52.22,53.42,56.85,45.22,38.86,53.27,52.62,56.57,53.38,4.27,5.9,3.32,1517425.4,1481401.9,83284415.0,77352388.0,1.11,1.47,2880864618.3605876,11.99,83,-11.04,282,223.1,10,74.68,0.89,10.33,1.16,0.96,85.7,0.232,32.01,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,2026-10-06,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21",6,https://www.tradingview.com/chart/?symbol=NASDAQ:PENG&interval=D,False,False,True
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,104.39,93.0,89.21,95.88,94.82,94.61,81.71,67.7,95.84,94.15,105.58,95.29,6.94,8.43,8.8,2320566.2,2670493.8333333335,278772851.0,256049619.0,1.22,0.79,3409329932.6604395,10.33,95,9.31,161,204.17,13,74.6,1.2,17.01,1.29,1.17,103.4,0.371,25.98,True,True,True,True,False,True,False,False,False,True,True,False,False,False,True,False,2026-10-06,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21, RVOL",6,https://www.tradingview.com/chart/?symbol=NASDAQ:AEHR&interval=D,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1777.8,1701.07,1663.79,1635.11,1516.76,1621.04,1339.03,1107.91,1735.13,1673.07,1815.0,1742.59,5.06,6.28,111.61,9680795.4,11567304.366666667,20564353703.0,18913813115.0,0.74,2.19,260303708759.62228,22.14,41,-18.07,326,196.42,15,66.83,2.74,6.85,1.0,0.65,31.5,0.284,33.36,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-11-05,False,True,5,large gap,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NASDAQ:SNDK&interval=D,False,False,True
PANW,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,374.74,376.76,360.92,361.09,356.52,318.45,267.15,245.23,373.85,366.26,388.25,373.78,4.44,4.74,17.78,7248532.50000001,6457382.033333342,2419839343.0,2331683164.0,0.68,-0.51,306537330556.38116,13.4,77,26.97,94,153.97,23,64.78,1.08,3.83,0.49,0.81,5.4,0.236,35.1,False,False,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-11-12,False,False,6,,"EMA, near21",6,https://www.tradingview.com/chart/?symbol=NASDAQ:PANW&interval=D,False,False,True
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,69.79,65.81,62.42,61.86,64.05,70.29,56.88,50.36,66.77,64.6,70.88,68.63,5.12,5.47,3.82,682877.0,517947.1,36147528.0,32040553.0,0.38,1.35,1687838720.737812,14.41,69,-13.25,297,188.75,17,63.3,1.64,11.8,1.47,0.59,30.3,0.321,28.55,False,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"EMA, near21, ADR",8,https://www.tradingview.com/chart/?symbol=NYSE:AMBQ&interval=D,False,False,True
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,288.7,271.28,256.5,242.3,229.68,253.83,228.66,202.96,271.16,258.79,292.72,264.01,5.52,6.65,19.2,19553370.8,15172984.1,4380440510.0,3676459566.0,0.9,1.22,85030042194.01125,34.94,22,-1.98,222,117.08,51,50.02,3.86,12.56,1.74,1.5,128.6,0.389,23.67,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,2026-10-29,False,False,5,LoD>60% ATR,EMA,5,https://www.tradingview.com/chart/?symbol=NYSE:BE&interval=D,True,False,False
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,73.69,73.54,74.42,73.4,70.26,57.18,52.37,47.07,73.4,73.16,74.62,69.36,6.41,6.31,4.65,5146917.0,3467671.2666666666,255532696.0,254516668.0,0.56,-1.31,8734980346.338245,13.16,79,75.87,21,46.28,145,45.1,0.77,-0.98,0.12,1.13,93.2,0.129,37.11,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,2026-10-29,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21",5,https://www.tradingview.com/chart/?symbol=NYSE:PBF&interval=D,False,True,False
NUAI,"New Era Energy & Digital, Inc.",NASDAQ,Engineering & Construction,7.06,6.38,5.94,5.67,5.42,5.22,5.0,4.93,6.57,6.12,7.1,6.62,8.52,9.18,0.65,10092626.4,7605650.6,53695893.0,43154462.0,0.81,0.29,752308903.1671469,40.64,16,24.96,102,66.12,110,43.9,3.29,18.88,1.68,0.74,67.9,0.571,20.52,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,2026-12-02,False,False,4,"LoD>60% ATR, thin RVOL",EMA,6,https://www.tradingview.com/chart/?symbol=NASDAQ:NUAI&interval=D,True,False,False
SEI,"Solaris Energy Infrastructure, Inc.",NYSE,Oilfield Services/Equipment,70.97,66.95,62.2,60.42,58.9,66.13,64.12,60.81,67.19,64.06,71.9,69.06,5.19,5.93,4.21,2734668.5,2701646.0,191735817.0,163226247.0,0.52,1.9,5689362469.5961485,35.78,21,-8.05,259,18.88,224,15.54,3.46,14.11,1.82,0.68,45.4,0.469,11.34,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,2026-11-02,False,False,5,thin RVOL,EMA,7,https://www.tradingview.com/chart/?symbol=NYSE:SEI&interval=D,True,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,73.79,79.64,80.19,80.32,71.79,62.57,68.31,73.71,78.3,78.27,76.49,72.7,6.77,7.25,5.35,1259601.6,1448697.0666666667,106899357.0,116365626.0,0.99,-1.34,3088075308.35109,-12.18,312,74.24,22,-16.58,343,15.16,0.38,-7.98,0.79,0.71,20.4,0.24,23.88,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,near21,5,https://www.tradingview.com/chart/?symbol=NASDAQ:WIX&interval=D,False,True,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,4.38,5.43,3.68,3.42,3.71,9.2,13.61,21.24,4.52,4.15,4.58,4.27,37.11,28.92,1.27,16389438.9,11031588.2,48318356.0,37764289.0,0.01,-1.58,35379414.32579186,58.28,7,-58.88,449,-77.65,453,-26.08,0.63,18.93,0.19,0.24,8.7,2.155,400.95,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,,False,False,4,"thin RVOL, below 200-MA","near21, ADR",5,https://www.tradingview.com/chart/?symbol=NASDAQ:FTFT&interval=D,True,False,False
