name,close,rs,rs_new_high_d,price_new_high_d,rs_lead_d,rs_new_high_w,price_new_high_w,rs_lead_w,pct_below_price_high,lookback_price_high,signal,is_rs_lead,tradingview_url,description,exchange,industry,Perf.1M,Perf.3M,Perf.6M
FIVN,38.65,0.049975,True,False,True,True,False,True,2.28,39.55,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,"Five9, Inc.",NASDAQ,Packaged Software,19.95654872749845,102.88713910761153,166.55172413793105
BFLY,9.93,0.01284,True,False,True,True,False,True,1.19,10.05,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:BFLY&interval=D,"Butterfly Network, Inc.",NYSE,Medical Specialties,6.774193548387085,26.658163265306122,139.85507246376812
NET,353.0,0.456438,True,False,True,True,False,True,0.9,356.2225,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:NET&interval=D,"Cloudflare, Inc.",NYSE,Information Technology Services,25.68539485864843,58.232103635304135,63.425925925925924
OMER,21.05,0.027218,True,False,True,True,False,True,0.89,21.2399,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:OMER&interval=D,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,12.929184549356222,99.14853358561967,103.77541142303969
OKTA,196.62,0.254235,True,False,True,True,False,True,0.74,198.085,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:OKTA&interval=D,"Okta, Inc.",NASDAQ,Packaged Software,44.871794871794876,65.47719239185324,153.08276483459906
SMCIP,69.32,0.089633,True,False,True,False,False,False,1.27,70.2111,LEAD_D,True,https://www.tradingview.com/chart/?symbol=NASDAQ:SMCIP&interval=D,"Super Micro Computer, Inc. - Depositary Shares Each Representing a 1/20th Interest in a Share of 7% Series A Mandatory Convertible Preferred Stock",NASDAQ,Computer Processing Hardware,10.171646535282884,19.065613191343175,36.59113300492609
AMRX,19.5,0.025214,False,False,False,True,False,True,7.91,21.175,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:AMRX&interval=D,"Amneal Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,8.393551973318521,16.00237953599049,60.62602965403624
SDGR,30.7,0.039696,False,False,False,True,False,True,2.83,31.5948,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:SDGR&interval=D,"Schrodinger, Inc.",NASDAQ,Packaged Software,54.85498108448928,102.77410832232495,172.16312056737593
RBRK,111.87,0.144651,False,False,False,True,False,True,1.83,113.95,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:RBRK&interval=D,"Rubrik, Inc.",NYSE,Information Technology Services,15.187397034596374,52.34917608606836,141.6198704103672
S,23.85,0.030839,False,False,False,True,False,True,1.67,24.255,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:S&interval=D,"SentinelOne, Inc.",NYSE,Packaged Software,13.409415121255348,57.947019867549685,79.4582392776524
ILMN,247.46,0.319972,False,False,False,True,False,True,1.04,250.06,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:ILMN&interval=D,"Illumina, Inc.",NASDAQ,Medical Specialties,16.50659133709981,48.96460390079461,97.54131076873954
AYA,30.38,0.039282,False,False,False,True,False,True,0.95,30.67,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:AYA&interval=D,Aya Gold & Silver Inc.,NASDAQ,Precious Metals,9.714698447092804,76.83352735739231,123.05433186490454
XMTR,105.13,0.135936,False,False,False,True,False,True,0.9,106.08,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:XMTR&interval=D,"Xometry, Inc.",NASDAQ,Information Technology Services,24.87231262620264,14.321444106133105,156.41463414634146
