name,close,rs,rs_new_high_d,price_new_high_d,rs_lead_d,rs_new_high_w,price_new_high_w,rs_lead_w,pct_below_price_high,lookback_price_high,signal,is_rs_lead,tradingview_url,description,exchange,industry,Perf.1M,Perf.3M,Perf.6M
P,126.0,0.16335,True,False,True,True,False,True,4.12,131.41,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:P&interval=D,"Everpure, Inc.",NYSE,Computer Peripherals,22.14036448235751,80.0,105.51296688957756
QMCO,31.68,0.041071,True,False,True,True,False,True,4.0,33.0,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:QMCO&interval=D,Quantum Corporation,NASDAQ,Computer Peripherals,41.99910354101301,181.85053380782915,522.3968565815325
CDNA,63.68,0.082557,True,False,True,True,False,True,2.32,65.19,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:CDNA&interval=D,"CareDx, Inc.",NASDAQ,Medical Specialties,26.979062811565306,128.65350089766605,267.2433679354095
CYPH,4.12,0.005341,True,False,True,True,False,True,1.67,4.19,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:CYPH&interval=D,Cypherpunk Technologies Inc.,NASDAQ,Financial Conglomerates,157.5,610.344827586207,533.8461538461538
USDE,17.25,0.022363,True,False,True,False,False,False,1.15,17.45,LEAD_D,True,https://www.tradingview.com/chart/?symbol=NASDAQ:USDE&interval=D,StablecoinX Inc.,NASDAQ,Packaged Software,196.9018932874355,131.2332439678284,68.29268292682927
FIVN,35.77,0.046373,False,False,False,True,False,True,10.57,40.0,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,"Five9, Inc.",NASDAQ,Packaged Software,13.699936427209161,80.65656565656566,142.01623815967525
TWLO,275.8,0.357555,False,False,False,True,False,True,9.5,304.75,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:TWLO&interval=D,Twilio Inc.,NYSE,Packaged Software,25.3237606216204,46.600754797214705,121.8111629403249
OKTA,195.19,0.25305,False,False,False,True,False,True,8.15,212.5,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:OKTA&interval=D,"Okta, Inc.",NASDAQ,Packaged Software,52.4921875,63.5579017931959,155.98688524590165
RNG,76.16,0.098736,False,False,False,True,False,True,7.01,81.9,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:RNG&interval=D,"RingCentral, Inc.",NYSE,Packaged Software,19.65435978004713,118.41124175509034,109.02977905859748
AMRX,19.77,0.02563,False,False,False,True,False,True,6.64,21.175,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:AMRX&interval=D,"Amneal Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,9.83333333333333,14.44283646888568,64.61282264779351
RBRK,109.55,0.142024,False,False,False,True,False,True,5.66,116.12,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:RBRK&interval=D,"Rubrik, Inc.",NYSE,Information Technology Services,21.049723756906076,54.66610193420867,134.23134487919603
OMER,20.08,0.026032,False,False,False,True,False,True,5.46,21.24,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:OMER&interval=D,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,5.907172995780577,164.55862977602106,93.07692307692305
NET,349.02,0.452479,False,False,False,True,False,True,5.01,367.43,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:NET&interval=D,"Cloudflare, Inc.",NYSE,Information Technology Services,27.463297056460444,54.51567203825039,70.25365853658536
CRWD,252.13,0.326868,False,False,False,True,False,True,4.45,263.87,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,37.96443228454172,46.97172835907897,171.94822704597544
HPE,62.94,0.081597,False,False,False,True,False,True,4.13,65.65,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:HPE&interval=D,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,17.86516853932584,39.20159239190533,153.07599517490948
ILMN,270.0,0.350036,False,False,False,True,False,True,2.86,277.95,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:ILMN&interval=D,"Illumina, Inc.",NASDAQ,Medical Specialties,22.29368602228463,53.35245505921109,119.51219512195122
GRAL,126.89,0.164504,False,False,False,True,False,True,0.61,127.67,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:GRAL&interval=D,"GRAIL, Inc.",NASDAQ,Medical Specialties,56.88674579624136,93.54789505796217,148.80392156862746
