theme,symbol,description,close,today,1w,1m,3m,6m,ytd
GPUs,NVDA,NVIDIA Corporation,224.58,-0.41,2.84,6.42,16.29,32.11,18.3
GPUs,AMD,"Advanced Micro Devices, Inc.",629.26,2.38,17.93,32.7,21.06,211.87,187.46
GPUs,AVGO,Broadcom Inc.,350.36,-1.3,1.08,-2.97,-5.42,14.1,-0.68
GPUs,MRVL,"Marvell Technology, Inc.",258.95,-0.75,7.86,9.09,-3.51,162.15,198.54
GPUs,ARM,Arm Holdings plc,306.34,-7.88,16.92,25.13,-8.57,102.16,171.51
GPUs,ALAB,"Astera Labs, Inc.",360.51,0.01,29.17,26.08,-5.74,224.78,109.98
GPUs,CRDO,Credo Technology Group Holding Ltd,195.97,1.08,16.2,-14.45,-24.99,106.28,32.06
GPUs,AMBA,"Ambarella, Inc.",69.86,3.31,9.41,-2.17,12.66,34.73,-4.08
CPUs,INTC,Intel Corporation,127.39,3.91,21.67,41.45,-1.02,192.04,237.28
CPUs,AMD,"Advanced Micro Devices, Inc.",629.26,2.38,17.93,32.7,21.06,211.87,187.46
CPUs,ARM,Arm Holdings plc,306.34,-7.88,16.92,25.13,-8.57,102.16,171.51
CPUs,QCOM,QUALCOMM Incorporated,194.26,-1.51,2.06,21.16,-3.69,49.56,11.77
CPUs,AVGO,Broadcom Inc.,350.36,-1.3,1.08,-2.97,-5.42,14.1,-0.68
CPUs,IBM,International Business Machines Corporation,227.06,-2.45,-4.83,-1.28,-12.31,-4.94,-23.69
Memory,MU,"Micron Technology, Inc.",1080.53,0.81,13.2,16.31,-5.14,200.26,266.13
Memory,WDC,Western Digital Corporation,450.31,-4.94,5.39,0.8,-29.98,63.81,154.13
Memory,SNDK,Sandisk Corporation,1753.62,-3.47,12.09,14.34,-19.19,192.39,617.67
Memory,STX,Seagate Technology Holdings PLC,905.92,-1.94,11.98,11.22,-8.92,139.33,221.28
Memory,SIMO,Silicon Motion Technology Corporation,275.1,-0.52,10.82,12.94,-12.53,154.13,190.96
Memory,RMBS,"Rambus, Inc.",104.55,1.04,23.8,16.19,-11.54,16.08,9.57
HBM,MU,"Micron Technology, Inc.",1080.53,0.81,13.2,16.31,-5.14,200.26,266.13
HBM,AMKR,"Amkor Technology, Inc.",52.69,-1.18,9.94,7.36,-35.5,17.45,28.36
HBM,ASX,"ASE Technology Holding Co., Ltd.",43.5,-0.98,11.68,17.54,8.48,100.83,160.95
HBM,FORM,"FormFactor, Inc.",129.04,-1.69,17.69,14.79,-7.97,30.99,123.06
HBM,CAMT,Camtek Ltd.,145.12,-1.32,0.56,-0.74,-8.55,-6.82,31.27
HBM,NVMI,Nova Ltd.,366.8,0.29,5.33,-1.13,-27.43,-17.24,9.17
NAND,SNDK,Sandisk Corporation,1753.62,-3.47,12.09,14.34,-19.19,192.39,617.67
NAND,MU,"Micron Technology, Inc.",1080.53,0.81,13.2,16.31,-5.14,200.26,266.13
NAND,SIMO,Silicon Motion Technology Corporation,275.1,-0.52,10.82,12.94,-12.53,154.13,190.96
MLCC,VSH,"Vishay Intertechnology, Inc.",31.8,-2.45,-1.24,0.92,-44.66,84.56,114.43
MLCC,KN,Knowles Corporation,36.76,0.08,2.2,9.83,-8.1,42.76,69.24
MLCC,BELFB,Bel Fuse Inc.,250.96,-1.23,2.91,-1.63,-18.53,23.91,47.06
MLCC,CTS,CTS Corporation,59.58,0.57,2.41,4.09,-9.11,24.28,38.3
MLCC,VPG,"Vishay Precision Group, Inc.",68.57,-1.8,7.92,0.25,-47.55,65.15,76.73
MLCC,LFUS,"Littelfuse, Inc.",421.16,-0.3,3.63,1.63,-11.08,25.78,65.75
Semi Testing,TER,"Teradyne, Inc.",387.7,-0.37,9.88,3.59,-14.55,32.14,94.54
Semi Testing,KLAC,KLA Corporation,187.11,-0.4,8.16,1.37,-24.17,30.25,48.53
Semi Testing,ONTO,Onto Innovation Inc.,279.73,-0.91,10.02,-3.46,-15.49,38.02,72.04
Semi Testing,COHU,"Cohu, Inc.",63.7,-1.21,19.67,19.98,-2.66,114.55,166.08
Semi Testing,FORM,"FormFactor, Inc.",129.04,-1.69,17.69,14.79,-7.97,30.99,123.06
Semi Testing,AEHR,Aehr Test Systems,97.42,0.04,9.52,-4.34,2.01,183.86,363.46
Semi Testing,CAMT,Camtek Ltd.,145.12,-1.32,0.56,-0.74,-8.55,-6.82,31.27
Semi Testing,NVMI,Nova Ltd.,366.8,0.29,5.33,-1.13,-27.43,-17.24,9.17
