theme,lane,names,listed,breadth,today,1w,1m,3m,6m,ytd,leader,unquoted
GPUs,Semis,8,8,87.5,1.82,20.27,8.41,-3.5,104.72,92.52,ALAB,
CPUs,Semis,6,6,83.33,1.43,16.12,19.17,-2.89,88.61,100.56,ARM,
Memory,Semis,6,6,100.0,5.69,17.87,9.59,-12.27,125.01,257.0,RMBS,
HBM,Semis,6,6,100.0,3.62,15.17,7.2,-12.66,50.17,106.73,FORM,
NAND,Semis,3,3,100.0,5.71,18.47,13.19,-5.15,182.35,381.09,SNDK,
MLCC,Semis,6,6,100.0,2.83,6.34,2.98,-22.16,39.99,70.25,VPG,
Semi Testing,Semis,8,8,100.0,3.59,15.3,1.32,-11.56,43.63,117.14,COHU,
Semi Equipment,Semis,11,11,100.0,2.14,10.12,-3.51,-19.91,18.11,57.18,TER,
Foundry,Semis,6,6,83.33,1.31,16.95,17.83,-8.61,87.09,133.92,ASX,
Advanced Packaging,Semis,7,7,100.0,3.61,15.7,5.36,-14.6,31.85,88.72,KLIC,
Analog Semis,Semis,12,12,91.67,2.09,6.96,3.51,-16.69,27.79,52.04,MPWR,
Power Semis,Semis,10,10,100.0,3.52,8.91,0.45,-28.43,30.0,55.52,MPWR,
RF Semis,Semis,6,6,100.0,1.73,10.08,15.43,-5.52,43.81,42.46,STM,
Optical,Semis,10,10,70.0,1.29,14.34,-2.19,-17.98,33.75,77.2,NOVT,
EDA Software,Semis,5,5,100.0,2.6,15.3,9.35,-12.59,36.68,62.36,PDFS,
PCB and EMS,Semis,7,7,100.0,3.44,6.89,7.67,-16.39,33.16,55.71,ROG,
Connectors,Semis,7,7,100.0,1.6,4.46,-0.48,-6.43,6.2,23.04,APH,
Semi Materials,Semis,7,7,85.71,2.45,14.4,0.12,-20.75,13.63,127.22,ENTG,
Robotics,AI,8,8,75.0,0.73,3.89,-0.82,6.09,10.33,10.64,TER,
Industrial Automation,AI,9,9,88.89,0.95,3.01,-2.25,5.0,15.34,20.57,ZBRA,
Humanoid Robots,AI,6,6,50.0,-0.33,2.29,-0.25,-0.63,-7.79,-17.84,SYM,
Agentic AI,AI,12,12,33.33,-0.14,1.99,1.81,33.7,52.38,2.69,MDB,
Edge AI,AI,10,10,90.0,2.12,11.17,8.7,-16.7,48.24,66.4,LSCC,
Routers,AI,10,10,30.0,-1.26,5.35,1.63,-5.56,28.7,53.79,FFIV,
Neoclouds,AI,9,9,77.78,1.26,13.93,3.98,-20.91,27.61,49.33,HUT,
Hyperscalers,AI,6,6,16.67,-0.59,1.94,6.93,9.16,17.28,-1.95,ORCL,
